Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
ADXS,8.24,3/18/2016,4:00pm,0.14,8.17,8.52,7.99,2393278,8.1
ADXSW,5.7646,3/18/2016,1:07pm,-0.2654,N/A,6,5.7646,4010,6.03
AVK,13.24,3/18/2016,4:00pm,0.07,13.21,13.25,13.13,77258,13.17
AGC,5.3624,3/18/2016,4:00pm,0.0224,5.35,5.37,5.32,47938,5.34
LCM,8.1,3/18/2016,4:02pm,-0.03,8.09,8.15,8.07,42827,8.13
MAUI,23.73,3/18/2016,2:12pm,0.08,23.65,23.73,23.65,4775,23.65
YPRO,23.1601,3/18/2016,1:04pm,0.0001,N/A,23.1722,23.16,4881,23.16
ACM,31.52,3/18/2016,4:04pm,0.05,31.9,31.9,31.28,1424791,31.47
ANW,7.62,3/18/2016,4:02pm,-0.3,7.92,7.94,7.36,454714,7.92
AEGR,3.92,3/18/2016,4:00pm,-0.01,3.95,4.27,3.7,2590184,3.93
AEGN,20.87,3/18/2016,4:00pm,-0.2,21.21,21.21,20.74,485706,21.07
AEB,22.25,3/18/2016,4:00pm,0.06,22.31,22.83,22.13,16726,22.19
AED,26.19,3/18/2016,4:02pm,0.14,26.1,26.26,26.1,16372,26.05
AEG,5.8,3/18/2016,4:04pm,0.01,5.81,5.84,5.76,1483464,5.79
AEH,25.45,3/18/2016,4:02pm,0.1,25.45,25.47,25.39,41684,25.35
AEK,27.17,3/18/2016,4:02pm,0.18,27.1,27.26,27,17941,26.99
AEHR,1.08,3/18/2016,4:00pm,-0.05,1.13,1.14,1.08,1883,1.13
AMTX,2.12,3/18/2016,4:00pm,0.15,2.01,2.39,2.01,46702,1.97
AEPI,65.13,3/18/2016,4:00pm,-5.64,70.7,70.7,64.64,69003,70.77
AER,38.32,3/18/2016,4:05pm,-0.09,38.75,39.31,38.02,1871831,38.41
AERI,12.37,3/18/2016,4:00pm,1.28,11.93,13.05,11.1,1331682,11.09
ACY,10.95,3/18/2016,4:00pm,0,11.19,11.19,10.9,1595,10.95
HIVE,5.27,3/18/2016,4:02pm,0.02,5.27,5.29,5.19,249752,5.25
AJRD,16.4,3/18/2016,4:01pm,0.18,16.35,16.67,16.14,413956,16.22
ARO,0.26,3/18/2016,4:01pm,-0.22,0.25,0.29,0.2,12029002,0.48
AVAV,28.18,3/18/2016,4:00pm,0.27,28.05,28.3,27.8,307523,27.91
AEZS,3.58,3/18/2016,4:00pm,-0.01,3.58,3.71,3.55,113955,3.59
AEMD,4.99,3/18/2016,4:00pm,0.02,5.02,5.54,4.9,31136,4.97
AET,112.61,3/18/2016,4:02pm,2.06,110.44,113.37,109.42,2765998,110.55
AMG,160,3/18/2016,4:02pm,0.06,160.81,163.93,158.51,1000687,159.94
MGR,26.16,3/18/2016,4:02pm,-0.04,26.09,26.37,26.09,16027,26.2
AFMD,3.96,3/18/2016,4:00pm,0.11,3.93,4,3.81,374796,3.85
AFFX,15.99,3/18/2016,4:00pm,1.97,14.03,16.15,14.01,13807189,14.02
AFL,63.52,3/18/2016,4:00pm,0.13,63.66,63.95,63.01,3882498,63.39
AFSD,25.79,3/18/2016,4:02pm,0.04,25.77,25.85,25.77,14531,25.75
MITT,12.96,3/18/2016,4:02pm,0.2,12.81,12.97,12.73,596440,12.76
MITT^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MITT^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WGA,0.38,3/17/2016,4:00pm,0.01,N/A,0.38,0.38,167,0.37
AGCO,52.25,3/18/2016,4:03pm,-0.35,52.58,53.02,51.75,1472456,52.6
AGEN,3.79,3/18/2016,4:00pm,0.05,3.8,3.91,3.62,3497201,3.74
AGRX,5.79,3/18/2016,4:00pm,0.23,5.61,5.82,5.54,82988,5.56
A,40.19,3/18/2016,4:04pm,0.9,39.33,40.48,39.27,2504361,39.29
AGYS,10.59,3/18/2016,4:00pm,0,10.74,10.91,10.39,101826,10.59
AGIO,36.1,3/18/2016,3:59pm,0.21,36,36.71,34.48,1281181,35.89
GAS,64.5,3/18/2016,4:04pm,-0.47,65.02,65.05,64.42,2182337,64.97
AEM,37.99,3/18/2016,4:03pm,-0.05,37.58,38.69,37.57,3055962,38.04
ADC,38.54,3/18/2016,4:02pm,-0.18,38.92,38.92,38.32,374691,38.72
GRO,1.01,3/18/2016,3:59pm,-0.02,1.01,1.01,1.01,1123,1.03
AGU,92.02,3/18/2016,4:01pm,0.54,91.34,92.26,91.34,1098306,91.48
AGFS,6,3/18/2016,4:00pm,0.18,5.78,6,5.78,156225,5.82
AGFSW,0.92,3/18/2016,10:33am,-0.03,0.92,0.92,0.92,3300,0.95
AIMT,14.65,3/18/2016,4:00pm,-0.4,15.18,15.3,14.6,506690,15.05
AIRI,5.9,3/18/2016,4:04pm,-0.04,5.93,6.13,5.9,2374,5.94
AL,32.78,3/18/2016,4:02pm,0.39,32.57,33.1,32.25,935921,32.39
AIRM,37.06,3/18/2016,4:00pm,1.98,35.26,37.75,35.26,950351,35.08
APD,141.59,3/18/2016,4:00pm,0.63,141.1,142.74,140.31,2901338,140.96
AIRT,26.62,3/18/2016,2:04pm,1.33,25.42,26.62,25.42,8559,25.29
ATSG,14.56,3/18/2016,4:00pm,0.43,14.25,14.6,14.22,866450,14.13
AYR,22.25,3/18/2016,4:05pm,0.63,21.75,22.28,21.53,1025824,21.62
ARG,141.57,3/18/2016,4:07pm,0.07,141.67,141.72,141.23,1063839,141.5
AMCN,5.62,3/18/2016,4:00pm,-0.04,5.67,5.67,5.57,703711,5.66
AIXG,3.86,3/18/2016,4:00pm,0.22,3.82,3.91,3.82,20551,3.64
AKS,4.2,3/18/2016,4:04pm,0.03,4.27,4.48,4.2,16142457,4.17
AKAM,55.95,3/18/2016,4:00pm,-0.11,56.5,57.05,55.69,2417964,56.06
AKTX,12.25,3/18/2016,3:57pm,0.47,11.58,12.25,11.4,2773,11.78
AKBA,8.66,3/18/2016,4:00pm,0.51,8.22,8.72,8.15,530796,8.15
AKER,2,3/18/2016,4:00pm,-0.06,2.04,2.08,1.75,58102,2.06
AKRX,18.85,3/18/2016,3:59pm,-0.24,19.03,19.4,17.57,5423903,19.09
ALP^O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALG,57.25,3/18/2016,4:02pm,-0.2,57.86,57.86,57.03,68555,57.45
AGI,5.41,3/18/2016,4:02pm,0.05,5.35,5.6,5.25,8645104,5.36
ALRM,21.75,3/18/2016,4:00pm,0.02,21.86,22.16,21.52,194596,21.73
ALK,82.03,3/18/2016,4:05pm,1.05,80.7,83,80.55,1966345,80.98
ALSK,1.64,3/18/2016,4:00pm,-0.03,1.68,1.72,1.56,504821,1.67
AIN,38.04,3/18/2016,4:02pm,0.14,38.15,38.52,37.47,152760,37.9
AMRI,14.34,3/18/2016,4:00pm,0.15,14.26,14.4,13.89,294127,14.19
ALB,61.38,3/18/2016,4:01pm,-1.05,62.36,62.75,60.7,1907553,62.43
ALU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ABDC,10.8299,3/18/2016,3:59pm,0.0499,10.85,10.85,10.69,59282,10.78
AA,10.03,3/18/2016,4:00pm,0.09,10,10.22,9.8,33625833,9.94
AA^,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AA^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADHD,4.03,3/18/2016,4:00pm,-0.04,4,4.12,3.85,313368,4.07
ALDR,18.69,3/18/2016,4:00pm,1.61,17.23,19.11,16.74,922072,17.08
ALDX,4.48,3/18/2016,4:00pm,0.03,4.45,4.57,4.15,18918,4.45
ALR,49.9,3/18/2016,4:02pm,0.08,50.05,50.14,49.74,1208650,49.82
ALR^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALEX,37.43,3/18/2016,4:02pm,0.44,37.2,37.83,37.08,340845,36.99
ALX,381.62,3/18/2016,4:03pm,-4.8,388.55,394.63,381.62,10819,386.42
ARE,88.32,3/18/2016,4:03pm,-1.02,88.76,90.04,88.21,983233,89.34
ARE^D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARE^E,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AXU,0.86,3/18/2016,4:01pm,0.03,0.83,0.86,0.8,238472,0.83
ALXN,128.45,3/18/2016,4:00pm,0.54,128.58,129.52,124.77,2608231,127.91
ALXA,0.5,3/18/2016,4:00pm,-0.03,0.54,0.54,0.5,83424,0.53
BABA,76.25,3/18/2016,4:00pm,2,74.96,76.3,74.71,13350099,74.25
ALCO,27.48,3/18/2016,4:00pm,0.72,26.96,27.61,26.74,23994,26.76
ALGN,68.9,3/18/2016,4:00pm,0.43,68.5,69.43,68.25,1293384,68.47
ALIM,1.82,3/18/2016,4:00pm,0.08,1.77,1.85,1.75,154716,1.74
ALKS,30.2,3/18/2016,4:00pm,0.21,30.01,30.36,28.8,2613579,29.99
Y,497.15,3/18/2016,4:02pm,1.29,495.3,499.99,491.04,102086,495.86
ATI,17.25,3/18/2016,4:06pm,-0.14,17.68,18.38,16.99,4462874,17.39
ABTX,18.43,3/18/2016,4:00pm,0.26,18.07,18.43,17.87,15927,18.17
ALGT,173.1,3/18/2016,4:00pm,3.91,170.14,174.85,170.14,281691,169.19
ALLE,64.56,3/18/2016,4:02pm,0.19,64.68,65.36,64.49,865727,64.37
AGN,269.43,3/18/2016,4:03pm,-3.27,274.02,274.73,267.28,6291451,272.7
AGN^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALE,57.55,3/18/2016,4:01pm,-0.27,58.14,58.34,57.24,443830,57.82
AKP,14.6,3/18/2016,4:02pm,-0.06,14.75,14.75,14.6,10834,14.66
ADS,208.7,3/18/2016,4:04pm,3.14,206,209.33,203.04,1763742,205.56
AFOP,14.17,3/18/2016,4:00pm,0.26,14,14.52,14,258018,13.91
AIQ,6.96,3/18/2016,3:59pm,0.05,6.93,7.95,6.76,60164,6.91
AHGP,14.47,3/18/2016,4:00pm,0.22,14.23,14.79,14.05,227791,14.25
AFB,14.25,3/18/2016,4:02pm,0.07,14.21,14.25,14.19,50946,14.18
AOI,16.03,3/18/2016,4:02pm,0.2,15.99,16.25,15.74,47506,15.83
ARLP,12.88,3/18/2016,4:00pm,0.41,12.61,12.94,12.3,331926,12.47
AWF,11.64,3/18/2016,4:02pm,-0.01,11.69,11.73,11.64,221720,11.65
AB,23.37,3/18/2016,4:02pm,0.27,23.27,23.74,23.11,207210,23.1
ACG,7.82,3/18/2016,4:02pm,0.05,7.77,7.83,7.77,434292,7.77
LNT,72.42,3/18/2016,4:04pm,-0.22,72.53,72.79,72.06,1419103,72.64
NCV,5.47,3/18/2016,4:00pm,0.05,5.45,5.48,5.42,260717,5.42
NCZ,4.88,3/18/2016,4:02pm,0.01,4.9,4.94,4.87,287264,4.87
ACV,17.52,3/18/2016,4:00pm,0,17.6,17.68,17.45,38510,17.52
NIE,18.05,3/18/2016,4:02pm,0.12,17.97,18.09,17.93,69694,17.93
NFJ,12.25,3/18/2016,4:02pm,0.01,12.29,12.3,12.23,199583,12.24
AHPI,0.6719,3/18/2016,4:00pm,-0.0081,0.7,0.7287,0.6701,256942,0.68
AMOT,18.39,3/18/2016,4:00pm,0.53,17.99,18.58,17.87,71458,17.86
AWH,35.4,3/18/2016,4:04pm,0.76,34.69,35.42,34.43,1128519,34.64
ALQA,0.89,3/18/2016,4:00pm,0.01,0.89,0.93,0.86,84203,0.88
ALSN,26.46,3/18/2016,4:03pm,0.1,26.42,26.54,26.28,1193895,26.36
ALLT,4.88,3/18/2016,4:00pm,0.01,4.88,4.97,4.88,24643,4.87
MDRX,12.635,3/18/2016,4:00pm,0.235,12.33,12.68,12,2648846,12.4
ALL,67.23,3/18/2016,4:01pm,0.03,67.4,67.76,66.66,3777239,67.2
ALL^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL^D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL^E,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALL^F,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALLY,18.48,3/18/2016,4:04pm,0.18,18.41,18.71,18.24,4215377,18.3
ALLY^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALLY^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AAU,0.73,3/18/2016,4:05pm,0,0.75,0.75,0.72,83626,0.74
AFAM,35.68,3/18/2016,4:00pm,0.49,35.35,36.39,34.58,139669,35.19
ALNY,59.8,3/18/2016,4:00pm,1.96,58.09,60.19,56.6,1334790,57.84
BSI,3.13,3/18/2016,4:00pm,-0.04,3.08,3.16,2.98,10672,3.17
ALJ,11.37,3/18/2016,4:04pm,0.67,10.82,11.45,10.71,1526392,10.7
ALDW,14.13,3/18/2016,4:06pm,0.05,14.36,14.74,13.58,1280291,14.08
AOSL,10.75,3/18/2016,4:00pm,-0.31,11.12,11.16,10.74,212297,11.06
APT,1.75,3/18/2016,4:04pm,-0.04,1.75,1.82,1.75,68150,1.79
GOOG,737.6,3/18/2016,4:00pm,-0.18,741.86,742,731.83,2980709,737.78
GOOGL,755.41,3/18/2016,4:00pm,-3.07,761.63,762.14,751.82,2811518,758.48
SMCP,21.46,3/15/2016,2:57pm,0,N/A,N/A,N/A,0,21.46
ATEC,0.23,3/18/2016,4:00pm,-0.04,0.25,0.28,0.23,139293,0.27
AGD,8.45,3/18/2016,4:00pm,0.01,8.47,8.5,8.44,40877,8.44
AWP,5.49,3/18/2016,4:02pm,0,5.53,5.55,5.48,227736,5.49
AOD,7.5,3/18/2016,4:00pm,0.03,7.48,7.51,7.47,202472,7.47
AAMC,14.25,3/18/2016,4:02pm,0.5,13.94,14.5,13.42,49821,13.75
ASPS,23.88,3/18/2016,4:00pm,0.48,23.4,24.36,23.4,572742,23.4
RESI,12.06,3/18/2016,4:06pm,0.17,11.98,12.25,11.6,1852112,11.89
AIMC,27.15,3/18/2016,4:00pm,0.38,26.93,27.25,26.47,185112,26.77
MO,61.54,3/18/2016,4:00pm,-0.79,62.39,62.44,61.39,16636595,62.33
ACH,8.82,3/18/2016,4:02pm,-0.11,8.83,8.87,8.78,74630,8.93
AMAG,21.51,3/18/2016,4:00pm,0.74,20.89,22.04,20.49,2031675,20.77
AMRN,1.44,3/18/2016,4:00pm,0.05,1.4,1.45,1.38,1267265,1.39
AMRK,20.87,3/18/2016,4:00pm,-0.12,21.15,21.85,20.72,22024,20.99
AYA,14.31,3/18/2016,4:00pm,-0.06,14.37,14.49,14.22,96836,14.37
AMZN,552.08,3/18/2016,4:00pm,-7.36,562.33,562.33,546.09,7296885,559.44
AMBC,17.1,3/18/2016,4:00pm,0.94,16.27,17.16,15.91,627955,16.16
AMBCW,7.9,3/18/2016,3:41pm,0.71,7.4,7.9,7.1,14050,7.19
AMBA,39.92,3/18/2016,4:00pm,0.93,39.41,40.4,38.52,1522969,38.99
AMBR,5.51,3/18/2016,4:02pm,0.12,5.42,5.63,5.36,141079,5.39
ABEV,5.09,3/18/2016,4:00pm,0.04,5.14,5.15,5.04,24624244,5.05
AMC,29.41,3/18/2016,4:01pm,0.43,29.1,29.48,28.87,659588,28.98
AMCX,65.62,3/18/2016,4:00pm,0.38,65.01,66.07,64.78,667741,65.24
DIT,82.75,3/18/2016,4:07pm,2,79.55,82.75,79.53,896,80.75
DOX,59.72,3/18/2016,4:00pm,0.13,59.4,59.89,57.5,956740,59.59
AMFW,7.1,3/18/2016,4:02pm,-0.04,7.28,7.33,6.97,4730248,7.14
AMDA,1.96,3/18/2016,4:00pm,-0.09,1.9,2.12,1.86,865925,2.05
AMED,43.83,3/18/2016,4:00pm,2.57,41.55,44,40.8,620779,41.26
UHAL,347.61,3/18/2016,4:00pm,-3.13,351.01,352.96,347.6,37452,350.74
AEE,48.98,3/18/2016,4:01pm,0.08,49.03,49.42,48.42,2910755,48.9
AMRC,5,3/18/2016,4:01pm,0.03,5.06,5.1,4.95,158718,4.97
ATAX,5.24,3/18/2016,4:00pm,0.01,5.22,5.25,5.18,72928,5.23
AMOV,14.88,3/18/2016,4:00pm,-0.31,15.15,15.48,14.88,1606,15.19
AMX,14.99,3/18/2016,4:00pm,-0.2,15.39,15.58,14.91,5077408,15.19
AAL,43.44,3/18/2016,4:00pm,1.34,42.31,43.53,41.75,13745965,42.1
AAT,38.33,3/18/2016,4:02pm,-0.39,38.87,38.99,38.3,274226,38.72
AXL,15.48,3/18/2016,4:06pm,-0.19,15.78,16.03,15.35,1220054,15.67
ACC,46.56,3/18/2016,4:05pm,-0.41,46.8,47.18,46.47,1912228,46.97
AGNC,18.63,3/18/2016,4:00pm,-0.04,18.64,18.77,18.47,5163615,18.67
AGNCB,24.69,3/18/2016,3:49pm,0.18,24.6,24.74,24.55,13807,24.51
AGNCP,25.92,3/18/2016,3:58pm,-0.01,26.03,26.1,25.91,10505,25.93
MTGE,14.44,3/18/2016,4:00pm,-0.02,14.5,14.53,14.38,965861,14.46
MTGEP,24.4,3/18/2016,2:23pm,0.2,24.2,24.4,24,5432,24.2
ACSF,9.6,3/18/2016,4:00pm,0.17,9.46,9.63,9.41,21832,9.43
ACAS,14.94,3/18/2016,4:00pm,0.29,14.7,14.99,14.48,2335035,14.65
GNOW,0.31,3/18/2016,3:59pm,0.02,0.29,0.32,0.29,11849,0.29
ADGE,0.3,3/18/2016,4:02pm,-0.09,0.39,0.4,0.26,53044,0.39
AEO,16.9,3/18/2016,4:02pm,0.31,16.67,17,16.53,7159732,16.59
AEP,64.79,3/18/2016,4:06pm,-0.64,65.64,65.68,64.78,5079284,65.43
AETI,2.4295,3/18/2016,3:59pm,-0.0705,2.55,2.55,2.4,6808,2.5
AEL,16.54,3/18/2016,4:03pm,1.3,15.41,16.56,15.33,2714637,15.24
AXP,61.22,3/18/2016,4:01pm,1.14,60.31,61.44,60.03,8341268,60.08
AFCO,6.1,3/18/2016,4:02pm,0,6.15,6.25,6.02,69499,6.1
AFA,25.551,3/18/2016,3:36pm,0.013,25.51,25.583,25.51,4313,25.538
AFG,70.61,3/18/2016,4:01pm,-0.63,71.17,71.5,70.59,1113234,71.24
AFGE,26.36,3/18/2016,4:00pm,-0.24,26.58,26.61,26.35,17116,26.6
AFGH,25.37,3/18/2016,4:00pm,0.15,25.2,25.37,25.2,20662,25.22
AFW,26.66,3/18/2016,4:00pm,0.03,26.55,26.75,26.48,22459,26.63
AMH,15.71,3/18/2016,4:05pm,-0.02,15.78,15.8,15.63,2561001,15.73
AMH^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMH^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMH^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMIC,18.975,3/18/2016,3:03pm,0.125,19.11,19.81,18.9,1051,18.85
AIG,53.71,3/18/2016,4:01pm,0.53,53.37,53.92,53.32,9907109,53.18
AIG.WS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALN,1.15,3/18/2016,4:00pm,0.01,1.14,1.17,1.1,30500,1.14
AMID,6.9,3/18/2016,4:02pm,-0.7,7.65,7.76,6.85,243553,7.6
AMNB,25.16,3/18/2016,4:00pm,0.56,24.6,25.26,24.43,113409,24.6
ANAT,112.93,3/18/2016,4:00pm,-3.07,116.52,117.75,112.87,843909,116
APEI,21.09,3/18/2016,4:00pm,-0.47,21.67,21.95,21.03,280240,21.56
ARII,43.3,3/18/2016,4:00pm,-0.5,44.05,44.88,43.03,186435,43.8
ARL,4.16,3/18/2016,3:58pm,0.04,4.26,4.26,4.16,2211,4.12
ARPI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMRB,10.19,3/18/2016,4:00pm,-0.04,10.08,10.19,10.07,470,10.23
ASEI,27.57,3/18/2016,4:00pm,0.14,27.54,28.32,27.28,212854,27.43
AMS,1.9105,3/17/2016,2:03pm,0,N/A,N/A,N/A,10,1.9105
AMSWA,8.82,3/18/2016,4:00pm,-0.13,9.01,9.01,8.8,108262,8.95
AWR,39.48,3/18/2016,4:04pm,0.76,38.99,39.91,38.25,523851,38.72
AMSC,7.64,3/18/2016,4:00pm,0.23,7.5,7.75,7.5,63496,7.41
AMT,100.51,3/18/2016,4:02pm,-1.24,102.2,102.2,100.15,3566459,101.75
AMT^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMT^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AVD,16.01,3/18/2016,4:02pm,0.06,16.08,16.34,15.86,321223,15.95
AWK,68.01,3/18/2016,4:06pm,-1.96,70.02,70.02,68,3278780,69.97
AMWD,72.49,3/18/2016,4:00pm,1.21,71.62,73.38,70.71,252265,71.28
CRMT,26.42,3/18/2016,4:00pm,0.09,26.47,26.75,26.23,64625,26.33
APU,42.95,3/18/2016,4:05pm,-0.22,43.41,43.73,42.58,365269,43.17
AMP,94.36,3/18/2016,4:02pm,0.98,93.84,95.24,93.24,3533125,93.38
ABCB,29.43,3/18/2016,4:00pm,0.33,29.3,29.83,29.27,487704,29.1
AMSF,51.91,3/18/2016,4:00pm,0.79,51.38,52.8,51.04,236392,51.12
ASRV,2.96,3/18/2016,4:00pm,-0.09,3.05,3.05,2.96,60608,3.05
ASRVP,28.06,3/17/2016,3:48pm,0,N/A,N/A,N/A,196,28.06
ABC,87.48,3/18/2016,4:01pm,1.6,86.12,87.78,85.41,3675972,85.88
ATLO,24.99,3/18/2016,4:00pm,0.84,24.35,24.99,24.25,50247,24.15
AMGN,145.51,3/18/2016,4:00pm,1.38,144.97,146.4,142.51,6802568,144.13
FOLD,7.86,3/18/2016,4:00pm,0.59,7.33,8.14,7,6894436,7.27
ANFI,10.66,3/18/2016,4:04pm,-0.45,11.16,11.34,10.07,463242,11.11
AMKR,5.61,3/18/2016,4:00pm,0.22,5.42,5.62,5.42,2217883,5.39
AHS,32.44,3/18/2016,4:01pm,0.52,32.12,33.3,31.92,884401,31.92
AP,12.64,3/18/2016,4:02pm,-0.79,13.4,13.49,12.56,45320,13.43
AMPH,11.64,3/18/2016,4:00pm,0.31,11.41,11.99,11.25,392335,11.33
APH,57.64,3/18/2016,4:01pm,0.53,57.43,58,57.26,1689451,57.11
AMPE,2.12,3/18/2016,4:04pm,0.07,2.08,2.21,2.06,114629,2.05
BETR,12.98,3/18/2016,4:04pm,0.02,13.03,13.18,12.88,1485024,12.96
APHB,4.2,3/18/2016,4:01pm,-0.04,4.2,4.29,4.19,22182,4.24
AXR,4.2,3/18/2016,3:59pm,-0.07,4.2,4.2,4.2,130,4.27
AMSG,70.45,3/18/2016,4:00pm,1.23,69.57,71.77,69.33,1044991,69.22
AMSGP,135.3,3/18/2016,10:52am,4.29,132.14,135.3,132.14,643,131.01
ASYS,6.97,3/18/2016,4:00pm,0.32,6.61,7,6.64,39845,6.65
AME,50.16,3/18/2016,4:05pm,0.25,49.88,50.28,49.74,2341618,49.91
AFSI,25.81,3/18/2016,4:00pm,0.25,25.52,25.98,25.5,1110537,25.56
AFSI^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFSI^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFSI^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFSI^D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AFSS,24.5688,3/18/2016,3:58pm,0.0788,24.56,24.59,24.54,12001,24.49
AFST,25.05,3/18/2016,4:00pm,0.09,25.03,25.09,25,21301,24.96
AMRS,1.2,3/18/2016,4:00pm,0.07,1.14,1.2,1.13,490256,1.13
ANAC,57.93,3/18/2016,4:00pm,-0.29,58.52,59.47,54.68,1475225,58.22
AEUA,32.7,3/18/2016,4:00pm,-0.2,33.2,33.39,32.57,25809,32.9
APC,48.76,3/18/2016,4:00pm,-0.5,49.69,49.94,47.84,10288354,49.26
ANAD,0.8491,3/15/2016,3:59pm,0,N/A,N/A,N/A,0,0.8491
ADI,59.01,3/18/2016,4:00pm,1.14,57.87,59.06,57.73,4820129,57.87
ALOG,76.23,3/18/2016,4:00pm,1.21,75.4,77.34,74.7,98901,75.02
AVXL,4.92,3/18/2016,4:00pm,0.2,4.69,4.95,4.69,335310,4.72
ANCB,23.58,3/18/2016,4:00pm,0.1,23.61,23.64,23,6726,23.48
ABCW,44.29,3/18/2016,4:00pm,0.25,44.3,44.59,44,96510,44.04
ANDA,9.64,3/15/2016,3:56pm,0,N/A,N/A,N/A,0,9.64
ANDAR,0.2095,3/18/2016,11:08am,-0.0005,N/A,0.2095,0.2095,3715,0.21
ANDAU,9.85,3/9/2016,4:44pm,0,N/A,N/A,N/A,0,9.85
ANDAW,0.1101,3/18/2016,11:09am,0,0.1101,0.1101,0.1101,3715,0.1101
ANGI,8.29,3/18/2016,4:00pm,0.16,8.19,8.44,7.95,561713,8.13
ANGO,11.38,3/18/2016,4:00pm,0.62,10.82,11.4,10.69,219500,10.76
AU,13.58,3/18/2016,4:00pm,0.32,13.39,13.85,13.25,13315418,13.26
BUD,121.55,3/18/2016,4:02pm,3.15,120.65,122.08,120.44,2375471,118.4
ANIP,32.04,3/18/2016,4:00pm,0.44,31.75,32.79,31,695967,31.6
ANIK,43.75,3/18/2016,4:00pm,-0.17,44.15,44.73,43.6,187558,43.92
AXE,50.63,3/18/2016,4:02pm,0.7,50.2,50.79,49.43,439170,49.93
NLY,10.41,3/18/2016,4:03pm,0.02,10.42,10.45,10.37,9553056,10.39
NLY^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NLY^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NLY^D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANSS,87.67,3/18/2016,4:00pm,-0.31,87.35,88.61,86.76,738805,87.98
ATRS,0.7299,3/18/2016,4:00pm,0.0099,0.72,0.736,0.67,1489235,0.72
AM,25.47,3/18/2016,4:02pm,-0.35,25.95,27.01,25.07,6281297,25.82
AR,24.75,3/18/2016,4:02pm,0.13,24.73,25.35,24.4,11097499,24.62
ANTM,142.68,3/18/2016,4:00pm,2.33,140.84,144.11,140.53,1761917,140.35
ANTX,47.64,3/18/2016,4:00pm,0.01,47.22,48.03,47.18,219350,47.63
ANTH,3.8,3/18/2016,4:00pm,0.14,3.72,3.88,3.51,746126,3.66
ANH,4.76,3/18/2016,4:05pm,-0.04,4.83,4.83,4.75,1359884,4.8
ANH^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANH^B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ANH^C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AON,101.47,3/18/2016,4:05pm,-0.53,102.17,102.48,100.98,3541875,102
ABAC,0.6536,3/18/2016,12:48pm,-0.0454,0.699,0.699,0.5551,1032,0.699
AXN,0.6997,3/18/2016,3:09pm,-0.0037,0.71,0.72,0.6901,25552,0.7034
APA,49.63,3/18/2016,4:02pm,-0.84,51.27,51.81,48.53,7009647,50.47
AIV,40.26,3/18/2016,4:05pm,-0.27,40.55,40.86,40.24,1619249,40.53
AIV^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
