Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
AWI,45.01,3/18/2016,4:03pm,0.98,44.02,45.34,43.95,1665356,44.03
ARTX,2.6,3/18/2016,4:00pm,0.12,2.46,2.65,2.44,262404,2.48
ARWA,9.95,3/15/2016,11:28am,0,N/A,N/A,N/A,0,9.95
ARWAR,0.29,3/15/2016,10:56am,0,N/A,N/A,N/A,0,0.29
ARWAU,10.13,3/18/2016,10:08am,-0.12,N/A,10.14,10.13,1500,10.25
ARWAW,0.081,3/15/2016,9:57am,0,N/A,N/A,N/A,0,0.081
ARQL,1.49,3/18/2016,4:00pm,0.06,1.44,1.51,1.37,190976,1.43
ARRY,2.69,3/18/2016,4:00pm,0.06,2.66,2.71,2.6,2765464,2.63
HRT,4.0813,3/17/2016,3:27pm,0,N/A,N/A,N/A,15,4.0813
ARRS,22.81,3/18/2016,4:00pm,0.39,22.35,23.11,22.3,8581788,22.42
DWAT,9.916,3/18/2016,3:56pm,-0.016,N/A,10.06,9.916,4288,9.932
ARW,63.16,3/18/2016,4:07pm,1.33,61.77,63.3,61.75,1467963,61.83
AROW,26.71,3/18/2016,4:00pm,0.21,26.57,26.82,26.53,46276,26.5
ARWR,4.53,3/18/2016,4:00pm,0.32,4.31,4.53,4.12,854529,4.21
ARTNA,26.96,3/18/2016,4:00pm,1.44,25.64,27.01,25.18,164379,25.52
AJG,43.68,3/18/2016,4:05pm,-0.03,43.53,44,43.47,1652360,43.71
APAM,29.63,3/18/2016,4:02pm,0.38,29.48,29.87,29.2,641560,29.25
ARTW,3.0869,3/18/2016,1:52pm,-0.0106,3.09,3.0869,3.0869,622,3.0975
ASA,10.32,3/18/2016,4:02pm,0.01,10.35,10.48,10.21,176392,10.31
AKG,2.4,3/18/2016,4:01pm,-0.03,2.41,2.46,2.34,3243670,2.43
ASBB,24.53,3/18/2016,4:00pm,-0.28,24.79,25.24,24.53,62712,24.81
ABG,59.85,3/18/2016,4:00pm,0.86,59.41,60.4,59.38,896618,58.99
ASNA,10.85,3/18/2016,4:00pm,0.41,10.48,10.89,10.36,4300367,10.44
ASND,17.66,3/18/2016,4:00pm,-0.1,17.83,18.08,17.39,8979,17.76
ASCMA,15.94,3/18/2016,4:00pm,1.95,14.07,15.99,14.07,409850,13.99
ASTI,0.08,3/18/2016,3:59pm,0,0.08,0.08,0.07,2928530,0.08
AHP,10.72,3/18/2016,4:02pm,0.43,10.4,10.88,10.36,395670,10.29
AHT,6.23,3/18/2016,4:06pm,0.39,5.88,6.23,5.8,1981318,5.84
AHT^A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AHT^D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AHT^E,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AINC,42.51,3/18/2016,4:06pm,-0.49,43,43,42.2,4138,43
ASH,106.86,3/18/2016,4:06pm,1.17,105.68,107.59,105.57,972570,105.69
APB,9.58,3/18/2016,3:32pm,0.02,9.63,9.63,9.58,1770,9.56
